date,PortfolioValue
2013-12-04,3013061.5468456005
2013-12-05,3026237.3756236043
2013-12-06,3016506.9099729545
2013-12-09,3020396.5258379723
2013-12-10,3020757.707243323
2013-12-11,3025804.002435668
2013-12-12,3061755.6426118673
2013-12-13,3029397.2941905386
2013-12-16,3032082.0281996513
2013-12-17,3057933.9064409
2013-12-18,3072508.2973960885
2013-12-19,3072508.2973960885
2013-12-20,3072508.2973960885
2013-12-23,3072508.2973960885
2013-12-24,3072508.2973960885
2013-12-26,3072508.2973960885
2013-12-27,3121920.0363966464
2013-12-30,3097277.4912417885
2013-12-31,3120605.92896095
2014-01-01,3139508.993582477
2014-01-02,3100201.243862777
2014-01-03,3160937.59917136
2014-01-06,3173771.7172657875
2014-01-07,3187018.1490301085
2014-01-08,3187208.7273508725
2014-01-09,3187208.7273508725
2014-01-10,3187208.7273508725
2014-01-13,3187208.7273508725
2014-01-14,3248851.1890642173
2014-01-15,3234550.815264525
2014-01-16,3301772.3325382345
2014-01-17,3287094.726331461
2014-01-20,3387363.6857199636
2014-01-21,3310480.703028291
2014-01-22,3321077.0263557346
2014-01-23,3321077.0263557346
2014-01-24,3321077.0263557346
2014-01-27,3321077.0263557346
2014-01-28,3321077.0263557346
2014-01-29,3321077.0263557346
2014-01-30,3321077.0263557346
2014-01-31,3321077.0263557346
2014-02-03,3321077.0263557346
2014-02-04,3321077.0263557346
2014-02-05,3321077.0263557346
2014-02-06,3321077.0263557346
2014-02-07,3321077.0263557346
2014-02-10,3321077.0263557346
2014-02-11,3321077.0263557346
2014-02-12,3321077.0263557346
2014-02-13,3321077.0263557346
2014-02-14,3321077.0263557346
2014-02-17,3321077.0263557346
2014-02-18,3321077.0263557346
2014-02-19,3384822.4659425183
2014-02-20,3389485.05078284
2014-02-21,3488775.4830832076
2014-02-24,3430605.2213120763
2014-02-25,3421386.758057171
2014-02-26,3418035.105216124
2014-02-28,3417326.154179917
2014-03-03,3417326.154179917
2014-03-04,3417326.154179917
2014-03-05,3417326.154179917
2014-03-06,3417326.154179917
2014-03-07,3417326.154179917
2014-03-10,3417326.154179917
2014-03-11,3417326.154179917
2014-03-12,3417326.154179917
2014-03-13,3417326.154179917
2014-03-14,3417326.154179917
2014-03-18,3417326.154179917
2014-03-19,3417326.154179917
2014-03-20,3417326.154179917
2014-03-21,3417326.154179917
2014-03-24,3417326.154179917
2014-03-25,3417326.154179917
2014-03-26,3417326.154179917
2014-03-27,3417326.154179917
2014-03-28,3417326.154179917
2014-03-31,3417326.154179917
2014-04-01,3417326.154179917
2014-04-02,3462909.1330653206
2014-04-03,3443871.560132758
2014-04-04,3402166.1615392244
2014-04-07,3402166.1615392244
2014-04-09,3498353.1045538094
2014-04-10,3525541.6240649535
2014-04-11,3490710.9400391695
2014-04-15,3454695.5848746216
2014-04-16,3465548.2080280143
2014-04-17,3510976.0274774814
2014-04-21,3529350.5855980553
2014-04-22,3567473.7598012206
2014-04-23,3581488.4913659417
2014-04-24,3581488.4913659417
2014-04-25,3546205.1638141186
2014-04-28,3582977.48063907
2014-04-29,3550179.1485837502
2014-04-30,3573017.8288684594
2014-05-02,3611321.7037645984
2014-05-05,3638681.721430836
2014-05-06,3575659.1826923634
2014-05-07,3587062.8372243475
2014-05-08,3612081.0400264524
2014-05-09,3723392.3905766597
2014-05-12,3660546.252286774
2014-05-13,3682814.1513486267
2014-05-14,3634899.625232934
2014-05-15,3634899.625232934
2014-05-16,3634899.625232934
2014-05-19,3634899.625232934
2014-05-20,3634899.625232934
2014-05-21,3634899.625232934
2014-05-22,3634899.625232934
2014-05-23,3634899.625232934
2014-05-26,3634899.625232934
2014-05-27,3634899.625232934
2014-05-28,3634899.625232934
2014-05-29,3634899.625232934
2014-05-30,3634899.625232934
2014-06-02,3693495.244722809
